Variable,Description,in2001,in2011
sd_dec_tmp_11,Decadal variation of monthly temperature - Nov (Co),1,1
sd_dec_tmp_12,Decadal variation of monthly temperature - Dec (Co),1,1
sd_dec_tmp_2,Decadal variation of monthly temperature - Feb (Co),1,1
sd_dec_tmp_3,Decadal variation of monthly temperature - Mar (Co),1,1
sd_dec_tmp_4,Decadal variation of monthly temperature - Apr (Co),1,1
sd_dec_tmp_5,Decadal variation of monthly temperature - May (Co),1,1
sd_dec_tmp_6,Decadal variation of monthly temperature - Jun (Co),1,1
sd_dec_tmp_7,Decadal variation of monthly temperature - Jul (Co),1,1
sd_dec_tmp_8,Decadal variation of monthly temperature - Aug (Co),1,1
sd_dec_tmp_9,Decadal variation of monthly temperature - Sep (Co),1,1
sex_rat_04,"Gender ratio, 0-4 years (percent)",1,1
sex_rat_b,"Gender ratio, at birth (percent)",0,1
sex_rat_t,"Gender ratio, all ages (percent)",1,1
sgdp_s1,"GVA by sector,ISIC 3.1-Agriculture,fishing,hunting,forestry(A,B)(percent of GDP)",1,1
sgdp_s10,"GVA by sector,ISIC 3.1-Public administration(L)(percent of GDP)",1,1
sgdp_s11,"GVA by sector,ISIC 3.1-Other(M, N, O, P, Q)(percent of GDP)",1,1
sgdp_s2,"GVA by sector,ISIC 3.1-Mining and quarrying(C)(percent of GDP)",1,1
sgdp_s3,"GVA by sector,ISIC 3.1-Manufacturing(D)(percent of GDP)",1,1
sgdp_s4,"GVA by sector,ISIC 3.1-Electricity, gas and water supply(E)(percent of GDP)",1,1
sgdp_s5,"GVA by sector,ISIC 3.1-Construction(F)(percent of GDP)",1,1
sgdp_s6,"GVA by sector,ISIC 3.1-Trade, hotels and restaurants(G, H)(percent of GDP)",1,1
sgdp_s7,"GVA by sector,ISIC 3.1-Transportation,storage,communications(I)(percent of GDP)",1,1
sgdp_s8,"GVA by sector,ISIC 3.1-Financial intermediation(J)(percent of GDP)",1,1
sgdp_s9,"GVA by sector,ISIC 3.1-Real estate & business activities(K)(percent of GDP)",1,1
shc,"Secondary health care centers, rural (per 10,000 people)",0,1
size,Average size of formal manufacturing enterprises(number of employees),0,0
size,Average size of informal manufacturing enterprises(number of employees),0,0
size,Average size of informal services enterprises(number of employees),0,0
sp_e_2,"Specialization index of  Non-agr. enterprises, ISIC 3.1 -2 digit(index)",0,1
sp_e_4,"Specialization index of  Non-agr. enterprises, ISIC 3.1 -4 digit(index)",0,1
st,Scheduled Tribe (ST) population (percent),1,1
station_den_m,"Number of stations,Metro(stations per 1000 sq. km.)",0,1
station_den_r,"Number of stations,Railway(stations per 1000 sq. km.)",0,1
station_den_t,"Number of stations,Total(stations per 1000 sq. km.)",0,1
station_nmb_m,"Number of stations,Metro(stations)",0,1
station_nmb_r,"Number of stations,Railway(stations)",0,1
station_nmb_t,"Number of stations,Total(stations)",0,1
stunting,"Stunting (percent of children, 0-4 years)",0,0
u5mr_f,"Under-five mortality rate, female (deaths per 1,000 live births)",0,1
u5mr_m,"Under-five mortality rate, male (deaths per 1,000 live births)",0,1
u5mr_t,"Under-five mortality rate, total (deaths per 1,000 live births)",0,1
und_15_f,"Under-employment rate, 15+ years, marginal,       Female(percent of labor force)",1,1
und_15_m,"Under-employment rate, 15+ years, marginal,          Male(percent of labor force",1,1
und_15_t,"Under-employment rate, 15+ years, marginal,          Total(percent of labor forc",1,1
underwgt,"Underweight (percent of children, 0-4 years)",0,0
une_15_u_f,"Unemployment rate, 15+ years, usual ,       Female(percent of labor force)",0,1
une_15_u_m,"Unemployment rate, 15+ years, usual ,          Male(percent of labor force)",0,1
une_15_u_t,"Unemployment rate, 15+ years, usual ,          Total(percent of labor force)",0,1
une_15_w_f,"Unemployment rate, 15+ years, weekly,       Female(percent of labor force)",0,1
une_15_w_m,"Unemployment rate, 15+ years, weekly,          Male(percent of labor force)",0,1
une_15_w_t,"Unemployment rate, 15+ years, weekly,          Total(percent of labor force)",0,1
une_1524_u_f,"Unemployment rate, 15-24 years, usual ,       Female(percent of labor force)",0,1
une_1524_u_m,"Unemployment rate, 15-24 years, usual ,          Male(percent of labor force)",0,1
une_1524_u_t,"Unemployment rate, 15-24 years, usual ,          Total(percent of labor force)",0,1
une_1524_w_f,"Unemployment rate, 15-24 years, weekly,       Female(percent of labor force)",0,1
une_1524_w_m,"Unemployment rate, 15-24 years, weekly,          Male(percent of labor force)",0,1
une_1524_w_t,"Unemployment rate, 15-24 years, weekly,          Total(percent of labor force)",0,1
wasting,"Wasting (percent of children, 0-4 years)",0,0
wkp_15_f,"Working-age population, 15+ years,       Female(percent)",0,1
wkp_15_m,"Working-age population, 15+ years,          Male(percent)",0,1
wkp_15_t,"Working-age population, 15+ years,          Total(percent)",0,1
wkp_7_f,"Working-age population, 7+ years,       Female(percent)",1,1
wkp_7_m,"Working-age population, 7+ years,          Male(percent)",1,1
wkp_7_t,"Working-age population, 7+ years,          Total(percent)",1,1
wtr_sch_pri,Drinking water facility in primary schools (percent of schools),0,1
yieldp,"Crop yield,  quantity - All (tonnes per ha.)",0,0
yieldp_sel1,"Crop yield,  quantity - Millets(tonnes per ha.)",1,1
yieldp_sel2,"Crop yield,  quantity - Pulses(tonnes per ha.)",1,1
yieldp_sel3,"Crop yield,  quantity - Rice(tonnes per ha.)",1,1
yieldp_sel4,"Crop yield,  quantity - Sugar cane(tonnes per ha.)",1,1
yieldp_sel5,"Crop yield,  quantity - Wheat(tonnes per ha.)",1,1
yieldp_sel6,"Crop yield,  quantity - Maize(tonnes per ha.)",1,1
yieldp_sel7,"Crop yield,  quantity - Groundnut(tonnes per ha.)",1,1
yieldvus,"Crop yield,  monetary - All (2011 USD per ha., in thousands)",0,0
yieldvus_sel1,"Crop yield,  monetary - Millets (2011 USD per ha., in thousands)",1,1
yieldvus_sel2,"Crop yield,  monetary - Pulses (2011 USD per ha., in thousands)",1,1
yieldvus_sel3,"Crop yield,  monetary - Rice(2011 USD per ha., in thousands)",1,1
yieldvus_sel4,"Crop yield,  monetary - Sugar cane (2011 USD per ha., in thousands)",1,1
yieldvus_sel5,"Crop yield,  monetary - Wheat (2011 USD per ha., in thousands)",1,1
yieldvus_sel6,"Crop yield,  monetary - Maize(2011 USD per ha., in thousands)",1,1
yieldvus_sel7,"Crop yield,  monetary - Groundnut (2011 USD per ha., in thousands)",1,1
hh_wtr_t,"Households' access to improved water,total(percent of households)",1,1
hh_wtr_slm,"Households' access to improved water,slums(percent of households)",0,1
hh_snt2_t,"Households' access to improved sanitation,total(percent of households)",1,1
hh_snt2_slm,"Households' access to improved sanitation,slums(percent of households)",0,1
hh_snt_t,"Households' access to enhanced improved sanitation,total(percent of households)",0,1
hh_snt_slm,"Households' access to enhanced improved sanitation,slums(percent of households)",0,1
