Variable,Description
station_den_t,"Number of stations,Total(stations per 1000 sq. km.)"
station_nmb_m,"Number of stations,Metro(stations)"
station_nmb_r,"Number of stations,Railway(stations)"
station_nmb_t,"Number of stations,Total(stations)"
stunting,"Stunting (percent of children, 0-4 years)"
u5mr_f,"Under-five mortality rate, female (deaths per 1,000 live births)"
u5mr_m,"Under-five mortality rate, male (deaths per 1,000 live births)"
u5mr_t,"Under-five mortality rate, total (deaths per 1,000 live births)"
und_15_f,"Under-employment rate, 15+ years, marginal,       Female(percent of labor force)"
und_15_m,"Under-employment rate, 15+ years, marginal,          Male(percent of labor force"
und_15_t,"Under-employment rate, 15+ years, marginal,          Total(percent of labor forc"
underwgt,"Underweight (percent of children, 0-4 years)"
une_15_u_f,"Unemployment rate, 15+ years, usual ,       Female(percent of labor force)"
une_15_u_m,"Unemployment rate, 15+ years, usual ,          Male(percent of labor force)"
une_15_u_t,"Unemployment rate, 15+ years, usual ,          Total(percent of labor force)"
une_15_w_f,"Unemployment rate, 15+ years, weekly,       Female(percent of labor force)"
une_15_w_m,"Unemployment rate, 15+ years, weekly,          Male(percent of labor force)"
une_15_w_t,"Unemployment rate, 15+ years, weekly,          Total(percent of labor force)"
une_1524_u_f,"Unemployment rate, 15-24 years, usual ,       Female(percent of labor force)"
une_1524_u_m,"Unemployment rate, 15-24 years, usual ,          Male(percent of labor force)"
une_1524_u_t,"Unemployment rate, 15-24 years, usual ,          Total(percent of labor force)"
une_1524_w_f,"Unemployment rate, 15-24 years, weekly,       Female(percent of labor force)"
une_1524_w_m,"Unemployment rate, 15-24 years, weekly,          Male(percent of labor force)"
une_1524_w_t,"Unemployment rate, 15-24 years, weekly,          Total(percent of labor force)"
wasting,"Wasting (percent of children, 0-4 years)"
wkp_15_f,"Working-age population, 15+ years,       Female(percent)"
wkp_15_m,"Working-age population, 15+ years,          Male(percent)"
wkp_15_t,"Working-age population, 15+ years,          Total(percent)"
wkp_7_f,"Working-age population, 7+ years,       Female(percent)"
wkp_7_m,"Working-age population, 7+ years,          Male(percent)"
wkp_7_t,"Working-age population, 7+ years,          Total(percent)"
wtr_sch_pri,Drinking water facility in primary schools (percent of schools)
yieldp,"Crop yield,  quantity - All (tonnes per ha.)"
yieldp_sel1,"Crop yield,  quantity - Millets(tonnes per ha.)"
yieldp_sel2,"Crop yield,  quantity - Pulses(tonnes per ha.)"
yieldp_sel3,"Crop yield,  quantity - Rice(tonnes per ha.)"
yieldp_sel4,"Crop yield,  quantity - Sugar cane(tonnes per ha.)"
yieldp_sel5,"Crop yield,  quantity - Wheat(tonnes per ha.)"
yieldp_sel6,"Crop yield,  quantity - Maize(tonnes per ha.)"
yieldp_sel7,"Crop yield,  quantity - Groundnut(tonnes per ha.)"
yieldvus,"Crop yield,  monetary - All (2011 USD per ha., in thousands)"
yieldvus_sel1,"Crop yield,  monetary - Millets (2011 USD per ha., in thousands)"
yieldvus_sel2,"Crop yield,  monetary - Pulses (2011 USD per ha., in thousands)"
yieldvus_sel3,"Crop yield,  monetary - Rice(2011 USD per ha., in thousands)"
yieldvus_sel4,"Crop yield,  monetary - Sugar cane (2011 USD per ha., in thousands)"
yieldvus_sel5,"Crop yield,  monetary - Wheat (2011 USD per ha., in thousands)"
yieldvus_sel6,"Crop yield,  monetary - Maize(2011 USD per ha., in thousands)"
yieldvus_sel7,"Crop yield,  monetary - Groundnut (2011 USD per ha., in thousands)"
NA,NA
