variable,term,estimate,std.error,statistic,p.value,significance
N total females regular wage employed/N female employed,nsewDistTypenodal:postNSEW,0.1,0.05,2.12,0.03,**
N total females regular wage employed/N female employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.39,0.7,
N total females regular wage employed/N female employed,nsewDistType40-100:postNSEW,-0.02,0.01,-1.21,0.23,
N total males regular wage employed/N male employed,postGQ,-0.06,0.02,-3.3,0.0,***
N total males regular wage employed/N male employed,postNSEW,0.01,0.02,0.67,0.5,
N total males regular wage employed/N male employed,gqDistTypenodal:postGQ,0.1,0.03,3.02,0.0,***
N total males regular wage employed/N male employed,gqDistType0-40:postGQ,0.0,0.01,0.18,0.86,
N total males regular wage employed/N male employed,gqDistType40-100:postGQ,-0.01,0.01,-1.61,0.11,
N total males regular wage employed/N male employed,nsewDistTypenodal:postNSEW,0.02,0.04,0.64,0.52,
N total males regular wage employed/N male employed,nsewDistType0-40:postNSEW,0.01,0.01,1.1,0.27,
N total males regular wage employed/N male employed,nsewDistType40-100:postNSEW,0.0,0.01,0.37,0.71,
N total regular wage employed/Total employed,postGQ,-0.03,0.02,-2.12,0.03,**
N total regular wage employed/Total employed,postNSEW,0.01,0.02,0.82,0.41,
N total regular wage employed/Total employed,gqDistTypenodal:postGQ,0.09,0.03,2.91,0.0,***
N total regular wage employed/Total employed,gqDistType0-40:postGQ,-0.0,0.01,-0.21,0.83,
N total regular wage employed/Total employed,gqDistType40-100:postGQ,-0.01,0.01,-1.62,0.11,
N total regular wage employed/Total employed,nsewDistTypenodal:postNSEW,0.04,0.04,1.25,0.21,
N total regular wage employed/Total employed,nsewDistType0-40:postNSEW,0.01,0.01,1.07,0.28,
N total regular wage employed/Total employed,nsewDistType40-100:postNSEW,-0.0,0.01,-0.05,0.96,
N rural females formal employed/N female rural employed,postGQ,0.02,0.01,1.99,0.05,
N rural females formal employed/N female rural employed,postNSEW,-0.0,0.01,-0.04,0.97,
N rural females formal employed/N female rural employed,gqDistTypenodal:postGQ,0.01,0.02,0.55,0.58,
N rural females formal employed/N female rural employed,gqDistType0-40:postGQ,0.01,0.01,1.51,0.13,
N rural females formal employed/N female rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.14,0.89,
N rural females formal employed/N female rural employed,nsewDistTypenodal:postNSEW,0.01,0.03,0.29,0.77,
N rural females formal employed/N female rural employed,nsewDistType0-40:postNSEW,-0.01,0.01,-0.78,0.44,
N rural females formal employed/N female rural employed,nsewDistType40-100:postNSEW,-0.01,0.01,-1.53,0.13,
N rural males formal employed/N male rural employed,postGQ,0.03,0.01,2.73,0.01,**
N rural males formal employed/N male rural employed,postNSEW,0.0,0.01,0.24,0.81,
N rural males formal employed/N male rural employed,gqDistTypenodal:postGQ,0.06,0.02,2.79,0.01,**
N rural males formal employed/N male rural employed,gqDistType0-40:postGQ,-0.0,0.01,-0.04,0.97,
N rural males formal employed/N male rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.52,0.6,
N rural males formal employed/N male rural employed,nsewDistTypenodal:postNSEW,-0.03,0.02,-1.43,0.15,
N rural males formal employed/N male rural employed,nsewDistType0-40:postNSEW,0.02,0.01,2.06,0.04,**
N rural males formal employed/N male rural employed,nsewDistType40-100:postNSEW,-0.0,0.01,-0.18,0.86,
N rural formal employed/Total rural employed,postGQ,0.03,0.01,3.14,0.0,***
N rural formal employed/Total rural employed,postNSEW,-0.0,0.01,-0.04,0.97,
N rural formal employed/Total rural employed,gqDistTypenodal:postGQ,0.04,0.02,2.56,0.01,**
N rural formal employed/Total rural employed,gqDistType0-40:postGQ,0.0,0.0,0.34,0.74,
N rural formal employed/Total rural employed,gqDistType40-100:postGQ,-0.0,0.0,-0.34,0.73,
N rural formal employed/Total rural employed,nsewDistTypenodal:postNSEW,-0.03,0.02,-1.37,0.17,
N rural formal employed/Total rural employed,nsewDistType0-40:postNSEW,0.01,0.01,1.78,0.08,
N rural formal employed/Total rural employed,nsewDistType40-100:postNSEW,-0.0,0.01,-0.5,0.62,
N urban females formal employed/N female urban employed,postGQ,0.07,0.06,1.12,0.26,
N urban females formal employed/N female urban employed,postNSEW,0.02,0.06,0.29,0.77,
N urban females formal employed/N female urban employed,gqDistTypenodal:postGQ,0.04,0.11,0.34,0.74,
N urban females formal employed/N female urban employed,gqDistType0-40:postGQ,-0.03,0.03,-1.02,0.31,
N urban females formal employed/N female urban employed,gqDistType40-100:postGQ,0.04,0.03,1.54,0.12,
N urban females formal employed/N female urban employed,nsewDistTypenodal:postNSEW,0.3,0.13,2.31,0.02,**
N urban females formal employed/N female urban employed,nsewDistType0-40:postNSEW,0.09,0.04,2.1,0.04,**
N urban females formal employed/N female urban employed,nsewDistType40-100:postNSEW,0.03,0.03,0.77,0.44,
N urban males formal employed/N male urban employed,postGQ,0.05,0.04,1.46,0.15,
N urban males formal employed/N male urban employed,postNSEW,0.05,0.04,1.32,0.19,
N urban males formal employed/N male urban employed,gqDistTypenodal:postGQ,0.11,0.07,1.54,0.12,
N urban males formal employed/N male urban employed,gqDistType0-40:postGQ,0.01,0.02,0.54,0.59,
N urban males formal employed/N male urban employed,gqDistType40-100:postGQ,0.03,0.02,1.42,0.15,
N urban males formal employed/N male urban employed,nsewDistTypenodal:postNSEW,0.1,0.08,1.2,0.23,
N urban males formal employed/N male urban employed,nsewDistType0-40:postNSEW,0.04,0.03,1.65,0.1,
N urban males formal employed/N male urban employed,nsewDistType40-100:postNSEW,0.0,0.02,0.14,0.89,
N urban formal employed/Total urban employed,postGQ,0.05,0.04,1.3,0.2,
N urban formal employed/Total urban employed,postNSEW,0.05,0.04,1.36,0.17,
N urban formal employed/Total urban employed,gqDistTypenodal:postGQ,0.1,0.07,1.44,0.15,
N urban formal employed/Total urban employed,gqDistType0-40:postGQ,0.01,0.02,0.37,0.71,
N urban formal employed/Total urban employed,gqDistType40-100:postGQ,0.03,0.02,1.7,0.09,
N urban formal employed/Total urban employed,nsewDistTypenodal:postNSEW,0.12,0.08,1.51,0.13,
N urban formal employed/Total urban employed,nsewDistType0-40:postNSEW,0.05,0.03,1.77,0.08,
N urban formal employed/Total urban employed,nsewDistType40-100:postNSEW,0.0,0.02,0.21,0.83,
N total females formal employed/N female employed,postGQ,0.02,0.02,1.14,0.25,
N total females formal employed/N female employed,postNSEW,0.0,0.02,0.19,0.85,
N total females formal employed/N female employed,gqDistTypenodal:postGQ,0.05,0.03,1.68,0.09,
N total females formal employed/N female employed,gqDistType0-40:postGQ,0.01,0.01,0.87,0.39,
N total females formal employed/N female employed,gqDistType40-100:postGQ,0.01,0.01,1.41,0.16,
N total females formal employed/N female employed,nsewDistTypenodal:postNSEW,0.07,0.04,2.01,0.04,**
N total females formal employed/N female employed,nsewDistType0-40:postNSEW,0.01,0.01,1.12,0.26,
N total females formal employed/N female employed,nsewDistType40-100:postNSEW,-0.01,0.01,-1.11,0.27,
N total males formal employed/N male employed,postGQ,-0.01,0.01,-0.5,0.62,
N total males formal employed/N male employed,postNSEW,0.02,0.02,1.15,0.25,
N total males formal employed/N male employed,gqDistTypenodal:postGQ,0.12,0.03,4.08,0.0,***
N total males formal employed/N male employed,gqDistType0-40:postGQ,0.02,0.01,2.36,0.02,**
N total males formal employed/N male employed,gqDistType40-100:postGQ,0.01,0.01,0.98,0.33,
N total males formal employed/N male employed,nsewDistTypenodal:postNSEW,0.01,0.03,0.41,0.68,
N total males formal employed/N male employed,nsewDistType0-40:postNSEW,0.03,0.01,2.83,0.0,***
N total males formal employed/N male employed,nsewDistType40-100:postNSEW,0.0,0.01,0.42,0.67,
N total formal employed/Total employed,postGQ,-0.0,0.01,-0.01,0.99,
N total formal employed/Total employed,postNSEW,0.01,0.01,1.01,0.31,
N total formal employed/Total employed,gqDistTypenodal:postGQ,0.11,0.03,4.19,0.0,***
N total formal employed/Total employed,gqDistType0-40:postGQ,0.01,0.01,2.11,0.04,**
N total formal employed/Total employed,gqDistType40-100:postGQ,0.01,0.01,1.19,0.24,
N total formal employed/Total employed,nsewDistTypenodal:postNSEW,0.02,0.03,0.77,0.44,
N total formal employed/Total employed,nsewDistType0-40:postNSEW,0.03,0.01,2.9,0.0,***
N total formal employed/Total employed,nsewDistType40-100:postNSEW,0.0,0.01,0.23,0.82,
N rural females self employed/N female rural employed,postGQ,0.02,0.04,0.67,0.5,
N rural females self employed/N female rural employed,postNSEW,-0.0,0.04,-0.03,0.97,
N rural females self employed/N female rural employed,gqDistTypenodal:postGQ,-0.15,0.07,-2.02,0.04,**
N rural females self employed/N female rural employed,gqDistType0-40:postGQ,-0.01,0.02,-0.3,0.76,
N rural females self employed/N female rural employed,gqDistType40-100:postGQ,-0.01,0.02,-0.32,0.75,
N rural females self employed/N female rural employed,nsewDistTypenodal:postNSEW,-0.05,0.08,-0.6,0.55,
N rural females self employed/N female rural employed,nsewDistType0-40:postNSEW,-0.02,0.03,-0.56,0.58,
N rural females self employed/N female rural employed,nsewDistType40-100:postNSEW,-0.02,0.02,-0.76,0.45,
N rural males self employed/N male rural employed,postGQ,0.01,0.02,0.3,0.76,
N rural males self employed/N male rural employed,postNSEW,-0.02,0.02,-1.06,0.29,
N rural males self employed/N male rural employed,gqDistTypenodal:postGQ,-0.05,0.04,-1.26,0.21,
N rural males self employed/N male rural employed,gqDistType0-40:postGQ,0.01,0.01,0.84,0.4,
N rural males self employed/N male rural employed,gqDistType40-100:postGQ,-0.01,0.01,-0.74,0.46,
N rural males self employed/N male rural employed,nsewDistTypenodal:postNSEW,0.05,0.05,0.92,0.36,
N rural males self employed/N male rural employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.58,0.57,
N rural males self employed/N male rural employed,nsewDistType40-100:postNSEW,0.01,0.01,0.55,0.59,
N rural self employed/Total rural employed,postGQ,0.02,0.02,0.77,0.44,
N rural self employed/Total rural employed,postNSEW,-0.02,0.02,-0.72,0.47,
N rural self employed/Total rural employed,gqDistTypenodal:postGQ,-0.08,0.04,-2.01,0.04,**
N rural self employed/Total rural employed,gqDistType0-40:postGQ,0.0,0.01,0.17,0.86,
N rural self employed/Total rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.27,0.79,
N rural self employed/Total rural employed,nsewDistTypenodal:postNSEW,0.03,0.05,0.65,0.52,
N rural self employed/Total rural employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.56,0.57,
N rural self employed/Total rural employed,nsewDistType40-100:postNSEW,-0.0,0.01,-0.23,0.82,
N urban females self employed/N female urban employed,postGQ,-0.0,0.06,-0.02,0.98,
N urban females self employed/N female urban employed,postNSEW,0.08,0.06,1.35,0.18,
N urban females self employed/N female urban employed,gqDistTypenodal:postGQ,0.04,0.11,0.41,0.68,
N urban females self employed/N female urban employed,gqDistType0-40:postGQ,-0.01,0.03,-0.28,0.78,
N urban females self employed/N female urban employed,gqDistType40-100:postGQ,-0.04,0.03,-1.6,0.11,
N urban females self employed/N female urban employed,nsewDistTypenodal:postNSEW,-0.06,0.12,-0.49,0.62,
N urban females self employed/N female urban employed,nsewDistType0-40:postNSEW,0.01,0.04,0.23,0.81,
N urban females self employed/N female urban employed,nsewDistType40-100:postNSEW,0.02,0.03,0.69,0.49,
N urban males self employed/N male urban employed,postGQ,0.07,0.03,2.5,0.01,**
N urban males self employed/N male urban employed,postNSEW,-0.01,0.03,-0.25,0.8,
N urban males self employed/N male urban employed,gqDistTypenodal:postGQ,-0.03,0.05,-0.61,0.54,
N urban males self employed/N male urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.66,0.51,
N urban males self employed/N male urban employed,gqDistType40-100:postGQ,-0.0,0.01,-0.25,0.8,
N urban males self employed/N male urban employed,nsewDistTypenodal:postNSEW,0.02,0.06,0.3,0.77,
N urban males self employed/N male urban employed,nsewDistType0-40:postNSEW,0.02,0.02,1.03,0.3,
N urban males self employed/N male urban employed,nsewDistType40-100:postNSEW,0.0,0.02,0.13,0.9,
N urban self employed/Total urban employed,postGQ,0.04,0.03,1.58,0.11,
N urban self employed/Total urban employed,postNSEW,0.02,0.03,0.67,0.5,
N urban self employed/Total urban employed,gqDistTypenodal:postGQ,-0.02,0.05,-0.34,0.74,
N urban self employed/Total urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.58,0.56,
N urban self employed/Total urban employed,gqDistType40-100:postGQ,-0.01,0.01,-0.72,0.47,
N urban self employed/Total urban employed,nsewDistTypenodal:postNSEW,0.0,0.06,0.08,0.94,
N urban self employed/Total urban employed,nsewDistType0-40:postNSEW,0.03,0.02,1.44,0.15,
N urban self employed/Total urban employed,nsewDistType40-100:postNSEW,0.02,0.02,1.08,0.28,
N total females self employed/N female employed,postGQ,0.0,0.03,0.15,0.88,
N total females self employed/N female employed,postNSEW,0.01,0.03,0.16,0.88,
N total females self employed/N female employed,gqDistTypenodal:postGQ,-0.1,0.06,-1.6,0.11,
N total females self employed/N female employed,gqDistType0-40:postGQ,0.0,0.02,0.22,0.82,
N total females self employed/N female employed,gqDistType40-100:postGQ,-0.01,0.02,-0.73,0.46,
N total females self employed/N female employed,nsewDistTypenodal:postNSEW,-0.04,0.07,-0.52,0.6,
N total females self employed/N female employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.46,0.65,
N total females self employed/N female employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.56,0.57,
N total males self employed/N male employed,postGQ,0.04,0.02,2.08,0.04,**
N total males self employed/N male employed,postNSEW,-0.02,0.02,-1.05,0.29,
N total males self employed/N male employed,gqDistTypenodal:postGQ,-0.07,0.04,-1.9,0.06,
N total males self employed/N male employed,gqDistType0-40:postGQ,0.0,0.01,0.39,0.7,
N total males self employed/N male employed,gqDistType40-100:postGQ,-0.0,0.01,-0.32,0.75,
N total males self employed/N male employed,nsewDistTypenodal:postNSEW,0.04,0.04,0.92,0.36,
N total males self employed/N male employed,nsewDistType0-40:postNSEW,-0.01,0.01,-0.41,0.68,
N total males self employed/N male employed,nsewDistType40-100:postNSEW,0.01,0.01,0.44,0.66,
N total self employed/Total employed,postGQ,0.02,0.02,1.02,0.31,
N total self employed/Total employed,postNSEW,-0.01,0.02,-0.59,0.56,
N total self employed/Total employed,gqDistTypenodal:postGQ,-0.07,0.03,-2.12,0.03,**
N total self employed/Total employed,gqDistType0-40:postGQ,0.0,0.01,0.41,0.68,
N total self employed/Total employed,gqDistType40-100:postGQ,-0.0,0.01,-0.2,0.84,
N total self employed/Total employed,nsewDistTypenodal:postNSEW,0.02,0.04,0.62,0.53,
N total self employed/Total employed,nsewDistType0-40:postNSEW,-0.0,0.01,-0.1,0.92,
N total self employed/Total employed,nsewDistType40-100:postNSEW,0.0,0.01,0.21,0.83,
N rural females household employed/N female rural employed,postGQ,0.0,0.05,0.01,0.99,
N rural females household employed/N female rural employed,postNSEW,-0.11,0.05,-2.34,0.02,**
N rural females household employed/N female rural employed,gqDistTypenodal:postGQ,0.13,0.09,1.36,0.17,
N rural females household employed/N female rural employed,gqDistType0-40:postGQ,0.02,0.02,0.7,0.49,
N rural females household employed/N female rural employed,gqDistType40-100:postGQ,-0.0,0.02,-0.22,0.83,
N rural females household employed/N female rural employed,nsewDistTypenodal:postNSEW,-0.06,0.11,-0.57,0.57,
N rural females household employed/N female rural employed,nsewDistType0-40:postNSEW,0.03,0.03,0.84,0.4,
N rural females household employed/N female rural employed,nsewDistType40-100:postNSEW,0.02,0.03,0.61,0.54,
N rural males household employed/N male rural employed,postGQ,-0.02,0.02,-1.38,0.17,
N rural males household employed/N male rural employed,postNSEW,-0.05,0.02,-3.02,0.0,***
N rural males household employed/N male rural employed,gqDistTypenodal:postGQ,-0.02,0.03,-0.59,0.56,
N rural males household employed/N male rural employed,gqDistType0-40:postGQ,0.0,0.01,0.55,0.58,
N rural males household employed/N male rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.12,0.91,
N rural males household employed/N male rural employed,nsewDistTypenodal:postNSEW,0.01,0.04,0.26,0.79,
N rural males household employed/N male rural employed,nsewDistType0-40:postNSEW,-0.0,0.01,-0.37,0.71,
N rural males household employed/N male rural employed,nsewDistType40-100:postNSEW,0.01,0.01,1.14,0.26,
N rural household employed/Total rural employed,postGQ,-0.02,0.02,-0.72,0.47,
N rural household employed/Total rural employed,postNSEW,-0.08,0.02,-3.48,0.0,***
N rural household employed/Total rural employed,gqDistTypenodal:postGQ,0.03,0.04,0.64,0.52,
N rural household employed/Total rural employed,gqDistType0-40:postGQ,0.01,0.01,1.3,0.19,
N rural household employed/Total rural employed,gqDistType40-100:postGQ,-0.01,0.01,-0.61,0.54,
N rural household employed/Total rural employed,nsewDistTypenodal:postNSEW,-0.01,0.05,-0.29,0.77,
N rural household employed/Total rural employed,nsewDistType0-40:postNSEW,-0.0,0.02,-0.14,0.89,
N rural household employed/Total rural employed,nsewDistType40-100:postNSEW,0.02,0.01,1.26,0.21,
N urban females household employed/N female urban employed,postGQ,0.06,0.05,1.14,0.25,
N urban females household employed/N female urban employed,postNSEW,-0.11,0.05,-2.05,0.04,**
N urban females household employed/N female urban employed,gqDistTypenodal:postGQ,-0.01,0.1,-0.12,0.91,
N urban females household employed/N female urban employed,gqDistType0-40:postGQ,-0.0,0.03,-0.18,0.86,
N urban females household employed/N female urban employed,gqDistType40-100:postGQ,-0.01,0.03,-0.21,0.83,
N urban females household employed/N female urban employed,nsewDistTypenodal:postNSEW,-0.05,0.12,-0.39,0.69,
N urban females household employed/N female urban employed,nsewDistType0-40:postNSEW,-0.0,0.04,-0.13,0.9,
N urban females household employed/N female urban employed,nsewDistType40-100:postNSEW,-0.01,0.03,-0.33,0.74,
N urban males household employed/N male urban employed,postGQ,-0.02,0.02,-1.0,0.32,
N urban males household employed/N male urban employed,postNSEW,-0.03,0.02,-1.94,0.05,
N urban males household employed/N male urban employed,gqDistTypenodal:postGQ,-0.01,0.03,-0.3,0.77,
N urban males household employed/N male urban employed,gqDistType0-40:postGQ,0.0,0.01,0.03,0.98,
N urban males household employed/N male urban employed,gqDistType40-100:postGQ,0.0,0.01,0.47,0.64,
N urban males household employed/N male urban employed,nsewDistTypenodal:postNSEW,0.01,0.04,0.34,0.74,
N urban males household employed/N male urban employed,nsewDistType0-40:postNSEW,0.03,0.01,2.27,0.02,**
N urban males household employed/N male urban employed,nsewDistType40-100:postNSEW,0.02,0.01,2.33,0.02,**
N urban household employed/Total urban employed,postGQ,0.02,0.02,1.09,0.28,
N urban household employed/Total urban employed,postNSEW,-0.06,0.02,-3.33,0.0,***
N urban household employed/Total urban employed,gqDistTypenodal:postGQ,-0.01,0.04,-0.4,0.69,
N urban household employed/Total urban employed,gqDistType0-40:postGQ,-0.01,0.01,-0.55,0.58,
N urban household employed/Total urban employed,gqDistType40-100:postGQ,0.0,0.01,0.1,0.92,
N urban household employed/Total urban employed,nsewDistTypenodal:postNSEW,0.01,0.04,0.21,0.83,
N urban household employed/Total urban employed,nsewDistType0-40:postNSEW,0.02,0.01,1.14,0.25,
N urban household employed/Total urban employed,nsewDistType40-100:postNSEW,0.01,0.01,1.05,0.29,
N total females household employed/N female employed,postGQ,0.02,0.04,0.57,0.57,
N total females household employed/N female employed,postNSEW,-0.11,0.04,-2.59,0.01,**
N total females household employed/N female employed,gqDistTypenodal:postGQ,0.09,0.08,1.11,0.27,
N total females household employed/N female employed,gqDistType0-40:postGQ,0.01,0.02,0.47,0.64,
N total females household employed/N female employed,gqDistType40-100:postGQ,-0.0,0.02,-0.01,0.99,
N total females household employed/N female employed,nsewDistTypenodal:postNSEW,-0.03,0.09,-0.35,0.73,
N total females household employed/N female employed,nsewDistType0-40:postNSEW,0.02,0.03,0.51,0.61,
N total females household employed/N female employed,nsewDistType40-100:postNSEW,0.01,0.02,0.53,0.59,
N total males household employed/N male employed,postGQ,-0.01,0.01,-0.57,0.57,
N total males household employed/N male employed,postNSEW,-0.05,0.01,-3.32,0.0,***
N total males household employed/N male employed,gqDistTypenodal:postGQ,-0.03,0.03,-1.03,0.3,
N total males household employed/N male employed,gqDistType0-40:postGQ,0.0,0.01,0.48,0.63,
N total males household employed/N male employed,gqDistType40-100:postGQ,0.0,0.01,0.63,0.53,
N total males household employed/N male employed,nsewDistTypenodal:postNSEW,0.01,0.03,0.34,0.73,
N total males household employed/N male employed,nsewDistType0-40:postNSEW,0.0,0.01,0.11,0.91,
N total males household employed/N male employed,nsewDistType40-100:postNSEW,0.01,0.01,1.28,0.2,
N total household employed/Total employed,postGQ,0.01,0.02,0.69,0.49,
N total household employed/Total employed,postNSEW,-0.07,0.02,-3.87,0.0,***
N total household employed/Total employed,gqDistTypenodal:postGQ,-0.02,0.04,-0.43,0.67,
N total household employed/Total employed,gqDistType0-40:postGQ,0.01,0.01,0.79,0.43,
N total household employed/Total employed,gqDistType40-100:postGQ,0.0,0.01,0.4,0.69,
N total household employed/Total employed,nsewDistTypenodal:postNSEW,-0.0,0.04,-0.07,0.94,
N total household employed/Total employed,nsewDistType0-40:postNSEW,-0.0,0.01,-0.01,0.99,
N total household employed/Total employed,nsewDistType40-100:postNSEW,0.01,0.01,1.07,0.28,
N rural females agriculture employed/N female rural employed,postGQ,-0.05,0.04,-1.38,0.17,
N rural females agriculture employed/N female rural employed,postNSEW,-0.06,0.04,-1.42,0.16,
N rural females agriculture employed/N female rural employed,gqDistTypenodal:postGQ,0.07,0.08,0.95,0.34,
N rural females agriculture employed/N female rural employed,gqDistType0-40:postGQ,-0.0,0.02,-0.17,0.87,
N rural females agriculture employed/N female rural employed,gqDistType40-100:postGQ,0.01,0.02,0.31,0.76,
N rural females agriculture employed/N female rural employed,nsewDistTypenodal:postNSEW,-0.09,0.09,-1.02,0.31,
N rural females agriculture employed/N female rural employed,nsewDistType0-40:postNSEW,0.01,0.03,0.52,0.6,
N rural females agriculture employed/N female rural employed,nsewDistType40-100:postNSEW,0.01,0.02,0.58,0.56,
N rural males agriculture employed/N male rural employed,postGQ,-0.1,0.03,-3.9,0.0,***
N rural males agriculture employed/N male rural employed,postNSEW,-0.03,0.03,-1.01,0.31,
N rural males agriculture employed/N male rural employed,gqDistTypenodal:postGQ,-0.11,0.05,-2.13,0.03,**
N rural males agriculture employed/N male rural employed,gqDistType0-40:postGQ,0.01,0.01,1.05,0.29,
N rural males agriculture employed/N male rural employed,gqDistType40-100:postGQ,0.01,0.01,0.56,0.57,
N rural males agriculture employed/N male rural employed,nsewDistTypenodal:postNSEW,0.03,0.06,0.44,0.66,
N rural males agriculture employed/N male rural employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.29,0.77,
N rural males agriculture employed/N male rural employed,nsewDistType40-100:postNSEW,0.01,0.02,0.38,0.7,
N rural agriculture employed/Total rural employed,postGQ,-0.08,0.02,-3.43,0.0,***
N rural agriculture employed/Total rural employed,postNSEW,-0.03,0.02,-1.34,0.18,
N rural agriculture employed/Total rural employed,gqDistTypenodal:postGQ,-0.07,0.05,-1.51,0.13,
N rural agriculture employed/Total rural employed,gqDistType0-40:postGQ,0.01,0.01,0.9,0.37,
N rural agriculture employed/Total rural employed,gqDistType40-100:postGQ,0.01,0.01,0.44,0.66,
N rural agriculture employed/Total rural employed,nsewDistTypenodal:postNSEW,0.01,0.05,0.16,0.87,
N rural agriculture employed/Total rural employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.54,0.59,
N rural agriculture employed/Total rural employed,nsewDistType40-100:postNSEW,0.0,0.01,0.07,0.94,
N urban females agriculture employed/N female urban employed,postGQ,-0.09,0.06,-1.42,0.16,
N urban females agriculture employed/N female urban employed,postNSEW,-0.05,0.06,-0.78,0.43,
N urban females agriculture employed/N female urban employed,gqDistTypenodal:postGQ,0.1,0.11,0.85,0.4,
N urban females agriculture employed/N female urban employed,gqDistType0-40:postGQ,0.02,0.03,0.72,0.47,
N urban females agriculture employed/N female urban employed,gqDistType40-100:postGQ,0.04,0.03,1.33,0.18,
N urban females agriculture employed/N female urban employed,nsewDistTypenodal:postNSEW,-0.1,0.13,-0.75,0.46,
N urban females agriculture employed/N female urban employed,nsewDistType0-40:postNSEW,-0.04,0.04,-0.88,0.38,
N urban females agriculture employed/N female urban employed,nsewDistType40-100:postNSEW,-0.01,0.04,-0.22,0.83,
N urban males agriculture employed/N male urban employed,postGQ,-0.03,0.02,-1.33,0.19,
N urban males agriculture employed/N male urban employed,postNSEW,-0.02,0.02,-0.78,0.44,
N urban males agriculture employed/N male urban employed,gqDistTypenodal:postGQ,-0.01,0.05,-0.31,0.76,
N urban males agriculture employed/N male urban employed,gqDistType0-40:postGQ,0.01,0.01,0.71,0.47,
N urban males agriculture employed/N male urban employed,gqDistType40-100:postGQ,0.01,0.01,0.64,0.52,
N urban males agriculture employed/N male urban employed,nsewDistTypenodal:postNSEW,-0.03,0.05,-0.53,0.6,
N urban males agriculture employed/N male urban employed,nsewDistType0-40:postNSEW,0.0,0.02,0.17,0.86,
N urban males agriculture employed/N male urban employed,nsewDistType40-100:postNSEW,-0.01,0.01,-0.42,0.67,
N urban agriculture employed/Total urban employed,postGQ,-0.04,0.03,-1.26,0.21,
N urban agriculture employed/Total urban employed,postNSEW,-0.03,0.03,-1.05,0.29,
N urban agriculture employed/Total urban employed,gqDistTypenodal:postGQ,-0.0,0.05,-0.05,0.96,
N urban agriculture employed/Total urban employed,gqDistType0-40:postGQ,0.01,0.01,0.42,0.67,
N urban agriculture employed/Total urban employed,gqDistType40-100:postGQ,0.01,0.01,0.81,0.42,
N urban agriculture employed/Total urban employed,nsewDistTypenodal:postNSEW,-0.04,0.06,-0.61,0.55,
N urban agriculture employed/Total urban employed,nsewDistType0-40:postNSEW,-0.01,0.02,-0.44,0.66,
N urban agriculture employed/Total urban employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.5,0.62,
N total females agriculture employed/N female employed,postGQ,-0.0,0.04,-0.05,0.96,
N total females agriculture employed/N female employed,postNSEW,-0.06,0.04,-1.43,0.15,
N total females agriculture employed/N female employed,gqDistTypenodal:postGQ,0.01,0.08,0.18,0.86,
N total females agriculture employed/N female employed,gqDistType0-40:postGQ,0.0,0.02,0.1,0.92,
N total females agriculture employed/N female employed,gqDistType40-100:postGQ,0.01,0.02,0.62,0.53,
N total females agriculture employed/N female employed,nsewDistTypenodal:postNSEW,-0.05,0.09,-0.5,0.62,
N total females agriculture employed/N female employed,nsewDistType0-40:postNSEW,0.02,0.03,0.6,0.55,
N total females agriculture employed/N female employed,nsewDistType40-100:postNSEW,0.03,0.03,1.38,0.17,
N total males agriculture employed/N male employed,postGQ,0.04,0.03,1.45,0.15,
N total males agriculture employed/N male employed,postNSEW,-0.03,0.03,-0.9,0.37,
N total males agriculture employed/N male employed,gqDistTypenodal:postGQ,-0.12,0.06,-2.03,0.04,**
N total males agriculture employed/N male employed,gqDistType0-40:postGQ,-0.01,0.01,-0.62,0.53,
N total males agriculture employed/N male employed,gqDistType40-100:postGQ,0.01,0.01,0.77,0.44,
N total males agriculture employed/N male employed,nsewDistTypenodal:postNSEW,-0.01,0.07,-0.08,0.94,
N total males agriculture employed/N male employed,nsewDistType0-40:postNSEW,-0.02,0.02,-0.73,0.47,
N total males agriculture employed/N male employed,nsewDistType40-100:postNSEW,-0.0,0.02,-0.05,0.96,
N total agriculture employed/Total employed,postGQ,0.03,0.03,1.14,0.25,
N total agriculture employed/Total employed,postNSEW,-0.04,0.03,-1.2,0.23,
N total agriculture employed/Total employed,gqDistTypenodal:postGQ,-0.11,0.06,-1.98,0.05,
N total agriculture employed/Total employed,gqDistType0-40:postGQ,-0.01,0.01,-0.4,0.69,
N total agriculture employed/Total employed,gqDistType40-100:postGQ,0.01,0.01,0.88,0.38,
N total agriculture employed/Total employed,nsewDistTypenodal:postNSEW,-0.02,0.07,-0.23,0.82,
N total agriculture employed/Total employed,nsewDistType0-40:postNSEW,-0.02,0.02,-0.9,0.37,
